timestamp,event,client_id,algorithm,rtt_ms,offset_ms,server_time,client_time
2026-03-24T15:37:21.719949,SYNC_REPORT,client-2,cristian,0.833,0.112,1774366641.684964,1774366640.724863
2026-03-24T15:37:23.704568,TIME_SERVED,client-4,cristian,0,0,1774366643.702307,0
2026-03-24T15:37:23.726002,SYNC_REPORT,client-4,cristian,1.421,0.414,1774366643.702307,1774366645.276049
2026-03-24T15:37:24.991428,TIME_SERVED,client-0,cristian,0,0,1774366644.989853,0
2026-03-24T15:37:25.021338,SYNC_REPORT,client-0,cristian,1.672,0.522,1774366644.989853,1774366644.157173
2026-03-24T15:37:25.759957,TIME_SERVED,client-1,cristian,0,0,1774366645.758612,0
2026-03-24T15:37:25.782965,SYNC_REPORT,client-1,cristian,0.951,0.313,1774366645.758612,1774366645.499256
2026-03-24T15:37:26.739546,TIME_SERVED,client-2,cristian,0,0,1774366646.737977,0
2026-03-24T15:37:26.752498,SYNC_REPORT,client-2,cristian,0.733,0.075,1774366646.737977,1774366645.86621
2026-03-24T15:37:28.746420,TIME_SERVED,client-4,cristian,0,0,1774366648.744093,0
2026-03-24T15:37:28.762435,SYNC_REPORT,client-4,cristian,1.088,0.309,1774366648.744093,1774366650.069615
2026-03-24T15:37:30.027363,TIME_SERVED,client-0,cristian,0,0,1774366650.025464,0
2026-03-24T15:37:30.041057,SYNC_REPORT,client-0,cristian,1.213,0.334,1774366650.025464,1774366648.968354
2026-03-24T15:37:30.790135,TIME_SERVED,client-1,cristian,0,0,1774366650.788548,0
2026-03-24T15:37:30.804881,SYNC_REPORT,client-1,cristian,1.08,0.344,1774366650.788548,1774366650.538263
2026-03-24T15:37:31.758602,TIME_SERVED,client-2,cristian,0,0,1774366651.756849,0
2026-03-24T15:37:31.770659,SYNC_REPORT,client-2,cristian,1.167,0.321,1774366651.756849,1774366651.035058
2026-03-24T15:37:33.775716,TIME_SERVED,client-4,cristian,0,0,1774366653.769257,0
2026-03-24T15:37:33.793907,SYNC_REPORT,client-4,cristian,4.347,1.472,1774366653.769257,1774366655.011488
2026-03-24T15:37:35.046718,TIME_SERVED,client-0,cristian,0,0,1774366655.044721,0
2026-03-24T15:37:35.080872,SYNC_REPORT,client-0,cristian,1.329,0.442,1774366655.044721,1774366653.843118
2026-03-24T15:37:35.810376,TIME_SERVED,client-1,cristian,0,0,1774366655.808474,0
2026-03-24T15:37:35.859497,SYNC_REPORT,client-1,cristian,0.965,0.314,1774366655.808474,1774366655.847674
2026-03-24T15:37:36.777152,TIME_SERVED,client-2,cristian,0,0,1774366656.775055,0
2026-03-24T15:37:36.794768,SYNC_REPORT,client-2,cristian,1.822,0.683,1774366656.775055,1774366655.771086
2026-03-24T15:37:38.800434,TIME_SERVED,client-4,cristian,0,0,1774366658.798919,0
2026-03-24T15:37:38.812135,SYNC_REPORT,client-4,cristian,1.554,0.532,1774366658.798919,1774366659.939204
2026-03-24T15:39:10.496594,TIME_SERVED,client-0,cristian,0,0,1774366750.493386,0
2026-03-24T15:39:10.520711,SYNC_REPORT,client-0,cristian,1.9,0.814,1774366750.493386,1774366749.896955
2026-03-24T15:39:11.511904,TIME_SERVED,client-1,cristian,0,0,1774366751.510972,0
2026-03-24T15:39:11.516756,SYNC_REPORT,client-1,cristian,1.035,0.322,1774366751.510972,1774366751.001538
